"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",CVE-2016-10735,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap 3.x before 3.4.0 and 4.x-beta before 4.0.0-beta.2, XSS is possible in the data-target attribute, a different vulnerability than CVE-2018-14041.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",CVE-2018-14041,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the data-target property of scrollspy.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",CVE-2018-14042,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the data-container property of tooltip.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",CVE-2018-20676,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 3.4.0, XSS is possible in the tooltip data-viewport attribute.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",CVE-2018-20677,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 3.4.0, XSS is possible in the affix configuration target property.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",CVE-2019-8331,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 3.4.1 and 4.3.x before 4.3.1, XSS is possible in the tooltip or popover data-template attribute.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",CVE-2024-6485,"","",RETIREJS,"","","","","","","","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",bootstrap.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\bootstrap.min.js,"","",04c84852e9937b142ac73c285b895b85,8fb8a9319055253d085edfc3bb72d20f614ec709,pkg:javascript/bootstrap@3.3.7,"",Bootstrap before 4.0.0 is end-of-life and no longer maintained.,"",Bootstrap before 4.0.0 is end-of-life and no longer maintained.,RETIREJS,"","","","","","","","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",jquery.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\jquery.min.js,"","",64ec1b9cff683a0a739eeea84c9e628c,d22d1656bf07cb14aa768a5792c95aec7d24da57,pkg:javascript/jquery@3.1.0,"",CVE-2019-11358,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",jquery.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\jquery.min.js,"","",64ec1b9cff683a0a739eeea84c9e628c,d22d1656bf07cb14aa768a5792c95aec7d24da57,pkg:javascript/jquery@3.1.0,"",CVE-2020-11022,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerableapps,"Mon, 27 Oct 2025 22:04:48 +0700",jquery.min.js,C:\Users\user\Documents\Training\VulnerableJavaWebApplication\src\main\webapp\resources\js\jquery.min.js,"","",64ec1b9cff683a0a739eeea84c9e628c,d22d1656bf07cb14aa768a5792c95aec7d24da57,pkg:javascript/jquery@3.1.0,"",CVE-2020-11023,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.0.3 and before 3.5.0, passing HTML containing <option> elements from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,JQuery,JQuery,JQuery Cross-Site Scripting (XSS) Vulnerability,2025-01-23,"JQuery contains a persistent cross-site scripting (XSS) vulnerability. When passing maliciously formed, untrusted input enclosed in HTML tags, JQuery's DOM manipulators can execute untrusted code in the context of the user's browser.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-02-13,"This vulnerability could affect an open-source component, third-party library, protocol, or proprietary implementation that could be used by different products. For more information, please see: https://github.com/jquery/jquery/security/advisories/GHSA-jpcq-cgw6-v4j6 ; https://blog.jquery.com/2020/04/10/jquery-3-5-0-released/ ; https://nvd.nist.gov/vuln/detail/CVE-2020-11023"
